double_LSTM,sequence_size,epoches,batch_size,trainScoreMAE,trainScoreMSE,trainScoreRMSE,testScoreMAE,testScoreMSE,testScoreRMSE,exec_time
True,20,5,16,84.30794506426564,21995.966687833465,148.31037282615625,84.6648463231913,15245.727567315129,123.47359056622241,123177.96313476562
True,20,5,16,86.4241850336247,22744.311427386096,150.8121726764325,71.14069828858753,13539.879773398727,116.36098905302724,125977.46557617188
True,20,5,16,190.70929502915345,57345.19915079648,239.4685765414671,174.74681734503255,44858.45578694878,211.79814868631118,126052.3896484375
True,20,5,16,112.85774860296661,34252.377525843935,185.0739785216818,152.328465262919,47809.006169789835,218.65270675157404,121446.20825195312
True,20,5,16,103.6568410555261,28101.33112175681,167.6345164987116,92.89348650551418,20291.037304406942,142.44661211979366,118879.33276367188
True,20,5,32,220.12978362450642,84061.83162702445,289.9341849920848,172.10659690704128,52368.91781838654,228.84256120395642,67499.75122070312
True,20,5,32,154.90127859344943,54248.76286237416,232.91363820604013,152.62318341124708,42901.19894981066,207.12604604397455,67177.44091796875
True,20,5,32,148.2400489465742,51340.20276492709,226.5837654487344,97.941804253927,20107.59420339188,141.8012489486319,67123.7431640625
True,20,5,32,150.44678978806976,58410.70963576313,241.68307685016578,147.83596472316464,37616.837813738675,193.95060663410845,67058.60717773438
True,20,5,32,256.2448908449319,105209.30433301064,324.3598377312004,300.12797350964195,143251.92908517487,378.4863657850503,67411.47900390625
True,20,5,64,406.621240499974,225244.45912993947,474.5992616196737,314.84004677894893,139434.69820724137,373.4095582697922,42257.58740234375
True,20,5,64,142.145910180851,64724.79014093293,254.41067222294927,144.91697864692986,45683.95448265454,213.73805108743397,43943.90966796875
True,20,5,64,249.82291024118402,124842.92610621892,353.331184734972,312.07720049271546,134987.5861484363,367.4065679168464,44276.8603515625
True,20,5,64,168.49554879961235,99240.81573740077,315.0251033447982,184.39631028632385,112054.76491417986,334.7458213543223,42189.75146484375
True,20,5,64,256.2751771538075,147958.744902222,384.65405873618704,195.20544701541516,87084.21763330066,295.10035180138414,44235.120361328125
True,20,6,16,189.44272241345868,57331.70688227767,239.44040361283572,153.0155780263593,35833.515729524035,189.29742663207028,141789.55078125
True,20,6,16,219.15114631051375,71393.55310516208,267.1957205966482,294.7890637922157,104632.16687023867,323.46895812463777,141500.05078125
