learning_rate,sequence_size,batch_size,hidden_layers,train_score_MAE,train_score_MSE,train_score_RMSE,test_score_MAE,test_score_MSE,test_score_RMSE,epoches_stopped,exec_time,try
0.1,5,16,0,436.80700662793987,424971.3702942704,651.8982821685223,449.3082170063849,375722.3131987304,612.9619182288003,9,20109.789306640625,1
0.1,5,16,0,479.3280768214441,473131.7231746884,687.8457117513261,258.29080569842716,117505.80693072101,342.7912001944055,0,20208.170166015625,2
0.1,5,16,0,454.6310208081796,464374.12250132335,681.4500146755618,399.7376763459562,228175.17492044685,477.67685198306066,8,18890.92822265625,3
0.1,5,16,0,434.96511268417237,444068.36271277,666.3845456737198,293.27948335864824,157574.90936055128,396.95706236386735,8,18530.912109375,4
0.1,5,16,1,834.4891445824998,1231705.112952509,1109.8221086969338,1013.100790344425,1118069.0292094036,1057.3878329210165,0,33812.660888671875,1
0.1,5,16,1,494.1539388543136,498220.07056078466,705.8470589021283,212.03382678659676,91190.5505816142,301.97773193004514,0,33791.416259765625,2
0.1,5,16,1,1705.9047170262172,5897737.434040795,2428.5257738061573,1370.4211065216466,1961843.2065005798,1400.6581333432437,5,22560.83447265625,3
0.1,5,16,1,956.0662285283793,2033515.514486886,1426.0138549421201,1662.684015311306,3414494.8698148695,1847.835184699888,9,34146.06640625,4
0.1,5,16,2,1070.809824252861,3109770.372085996,1763.454102630969,357.1301331449335,169488.35028148213,411.6896285813891,7,38216.444091796875,1
0.1,5,16,2,573.5670880630121,741098.4722500846,860.8707639652334,418.0807192472228,254300.11644996842,504.28178278614075,0,46284.662109375,2
0.1,5,16,2,1072.4451617451189,3109741.6359062186,1763.4459549150404,359.6530053262043,171119.56900089688,413.6660114160902,8,42348.7763671875,3
0.1,5,16,2,533.7133590335418,635606.2171613968,797.2491562625806,327.87743453034153,203080.18073853245,450.64418418363334,0,47378.714111328125,4
0.1,5,16,3,1042.9383049148164,3112763.698323565,1764.3026096232938,313.48382695265775,143426.76599087834,378.7172639197721,0,57371.307861328125,1
0.1,5,16,3,924.7005685983852,3249182.1623051423,1802.548796095446,187.1867922806271,89283.63519277216,298.8036733254331,9,57273.066162109375,2
0.1,5,16,3,1226.4487563785422,3164449.3609929527,1778.8899237988146,579.725104622093,368133.8625681885,606.7403584468307,8,52866.63232421875,3
0.1,5,16,3,1128.492152827241,3117312.788597809,1765.5913424679588,443.5395244615863,233099.76990525762,482.80406989301326,9,56719.854248046875,4
0.1,5,32,0,613.4507895823209,758291.4579919492,870.7993213088473,603.7432452683244,566878.6089519603,752.9134139806253,6,10135.189208984375,1
0.1,5,32,0,492.9986947186097,792460.2236826319,890.2023498523422,306.78843861119185,166373.96143105158,407.88964369183435,7,10494.63232421875,2
0.1,5,32,0,516.4542866491371,526117.2055935359,725.3393727032443,426.5924419349824,280438.7069354005,529.5646390530626,0,12193.700439453125,3
0.1,5,32,0,628.9080982946375,808668.5588674999,899.2600062648733,652.386645020855,635529.5038897471,797.2010435829516,0,12280.108642578125,4
0.1,5,32,1,3094.9875495711995,12688675.16554277,3562.116669277239,2795.6753789825843,7899590.02194998,2810.6209317426606,7,18594.05859375,1
0.1,5,32,1,607.5822840062831,773488.9635370405,879.4822133147666,386.0130684417566,236482.69141005672,486.29486056307104,0,21169.616943359375,2
0.1,5,32,1,1115.0530679151827,3114061.7809179905,1764.670445414098,423.8354391210548,217123.31822275775,465.96493239594514,7,18575.077392578125,3
0.1,5,32,1,664.9475705804111,704694.8536100308,839.4610494895107,281.39131267807824,170507.45659771346,412.9254855270058,0,21147.36328125,4
0.1,5,32,2,571.5389539075347,716858.8434105275,846.6751699503933,466.8682354319456,319227.3054605827,565.0020402269205,9,29585.61083984375,1
0.1,5,32,2,948.2142451943097,3181648.4298869395,1783.7175869197847,187.58014151993353,84758.32995093112,291.13283901156035,0,29418.410888671875,2
0.1,5,32,2,950.9744403853202,3471075.4181272634,1863.0822360076497,313.63089313995016,174878.63437274855,418.1849284380638,0,29973.759765625,3
0.1,5,32,2,486.202766295865,539648.4936514519,734.6077141246557,272.33896637741384,141864.76147859238,376.6493879971032,7,25158.639404296875,4
0.1,5,32,3,2554.2851138238075,6966683.278152958,2639.447532752443,2263.225621993978,5205979.413350596,2281.661546625747,0,37019.30517578125,1
0.1,5,32,3,650.172201259402,830928.7270676139,911.5529206072536,562.9160513507319,397537.9998146311,630.5061457389858,5,27165.8564453125,2
0.1,5,32,3,1034.7349702516365,3114602.1949136397,1764.8235591451173,300.44661836669434,136455.42974741667,369.3987408579199,9,36838.561767578125,3
0.1,5,32,3,1060.9603482482717,3110279.236900399,1763.5983774375613,341.7873589501661,159864.44585211095,399.8305214113987,7,32264.76904296875,4
0.1,5,64,0,918.202336825381,1185999.6698496854,1089.0361196258302,661.1978300298225,606393.2772394521,778.7125767826356,9,9121.03076171875,1
0.1,5,64,0,486.40242735650514,504340.74697951,710.1695198890966,415.7392034105325,276557.1610346716,525.8870230711836,0,9138.3271484375,2
0.1,5,64,0,575.2699898024315,626126.2701665625,791.2814102243035,508.86949850583994,381873.45744021155,617.9591066083674,0,9573.771728515625,3
0.1,5,64,0,796.7388076669837,1114516.842197509,1055.7067974572813,1238.5670038057647,2000275.7018154482,1414.311034325706,5,6729.59130859375,4
0.1,5,64,1,757.9878869152255,1184255.385845678,1088.234986501389,921.7766089322312,944447.9353643478,971.8271118693632,8,14669.53662109375,1
0.1,5,64,1,1146.0644409045906,3930625.6459809747,1982.5805522048718,606.7187139435215,451896.79514984635,672.2326941988513,0,15979.11474609375,2
0.1,5,64,1,1029.6548158000994,2139062.3820729638,1462.553377512412,637.5119865232299,615310.3341333022,784.417193930183,0,15707.7685546875,3
0.1,5,64,1,619.6825062575364,788248.574243645,887.8336410857863,507.40198160467713,335584.9356767451,579.2969322176193,5,12123.348876953125,4
0.1,5,64,2,862.6980677225782,1073725.9769660532,1036.2074970613044,315.90926874454937,194033.71928330217,440.49258709233936,0,21670.012939453125,1
0.1,5,64,2,1062.9704432313736,3110127.863702561,1763.5554609091716,344.9333330904277,161795.68907560458,402.2383485889984,0,21904.654052734375,2
0.1,5,64,2,4787.553009776278,26030391.054959927,5101.9987313757665,4488.2408391876625,20228095.027852535,4497.565455649594,0,21693.77685546875,3
0.1,5,64,2,918.47480265621,3347123.261958823,1829.514488042886,233.45006584593023,119103.44781859234,345.1136737635765,0,21333.603515625,4
0.1,5,64,3,1059.3476039414254,3110418.4318277165,1763.6378403254214,339.2608327873754,158329.94791928167,397.9069588726511,0,27203.845703125,1
0.1,5,64,3,1064.738416846846,3110014.9608017383,1763.5234505959195,347.7025350344684,163510.51957584705,404.36434013875044,7,24239.1416015625,2
0.1,5,64,3,1078.7218157682146,3109773.1907429895,1763.4549018171656,369.2842433530938,177481.10857035036,421.2850680600374,7,24031.662353515625,3
0.1,5,64,3,1063.4511796821723,3110095.285992366,1763.5462245125207,345.687080365137,162260.6009301969,402.81583996933006,5,20685.169189453125,4
0.1,10,16,0,1010.0441057869976,1888878.7059218765,1374.364837269157,807.5099487285647,974782.0969059691,987.3105372201641,0,22949.80078125,1
0.1,10,16,0,1123.097942515373,2591409.5265072477,1609.7855529564326,688.6216896083542,671860.8254298529,819.6711690854162,5,14396.442138671875,2
0.1,10,16,0,610.7312623422923,802161.5245223822,895.6347048447722,319.36450562578517,181432.8361992635,425.949335249233,0,22294.26025390625,3
0.1,10,16,0,847.080664152991,1237632.0019678175,1112.4891019546292,381.05083328567315,239925.61813044283,489.8220269959721,0,22596.505126953125,4
0.1,10,16,1,776.4836153981626,1375967.1609327695,1173.0162662694706,591.7925279035279,675751.4491516543,822.0410264406846,5,26613.517578125,1
0.1,10,16,1,6510.666807457157,45499190.64991133,6745.308788329214,6213.052805324042,38685353.097941875,6219.755067359315,0,41398.70166015625,2
0.1,10,16,1,6449.064024254032,44700835.16111457,6685.868317661856,6151.450022120917,37923665.31084835,6158.219329550414,0,41262.199462890625,3
0.1,10,16,1,6371.96087483997,43712293.76267831,6611.527339630255,6074.346872706855,36981017.866160475,6081.202008333589,0,40872.891357421875,4
0.1,10,16,2,1052.9672436396952,2303829.526857323,1517.8371213201115,1133.10925950212,1848796.3780362962,1359.7045186496573,0,55186.13525390625,1
