position,found_at_top,learning_rate,sequence_size,batch_size,hidden_layers,train_score_MAE,train_score_MSE,train_score_RMSE,test_score_MAE,test_score_MSE,test_score_RMSE,epoches_stopped,exec_time
1,37,0.001,5,64,0,423.1721970950322,351586.88307803526,592.4330143844941,974.4041974216218,1423792.4261263162,1182.8141805963353,7.75,8562.551696777344
2,38,0.01,15,16,0,434.1494265892554,367681.6563407297,596.9096952030065,910.0717137849252,1430174.7291531279,1175.9060821180658,4.75,32413.721252441406
3,43,0.0001,10,16,0,431.97399263258694,390966.6535828016,624.9242008344601,954.7772553878311,1430939.1387299658,1186.5266525052828,3.0,19383.44647216797
4,46,0.001,5,32,1,410.33789117239496,355118.92757137463,594.5174339608939,1076.8026917299173,1684259.1266728088,1278.5866063374372,5.0,18626.27734375
4,46,0.0001,15,32,1,422.41963411044776,397922.8333941235,630.2832494796273,1023.6579650548064,1537411.419228095,1237.7076776330623,7.75,38346.917053222656
5,47,0.001,10,64,0,411.0080237164848,325103.367532495,567.9534028507048,1116.7478367680003,1794830.93505364,1330.6126018332152,7.75,11984.967956542969
6,48,0.001,5,64,2,444.1530702306332,399185.23239594325,630.4104090270524,885.6720251094789,1223461.0217754203,1098.927504771126,8.25,20804.825256347656
7,51,0.0001,15,16,0,427.89716466727793,378374.6592570412,613.1815910398233,1156.1468383946963,1874948.4313211017,1359.2893198746842,6.25,29906.561584472656
7,51,0.0001,10,16,1,453.7690852338101,407991.92357402894,638.2575730096473,1005.5744565995539,1557611.975260383,1241.2840870015073,7.0,34017.850646972656
8,53,0.001,5,64,3,453.42018077680586,410735.9107091276,640.0100863764014,849.0843304469088,1341453.5414769636,1144.948747157191,7.25,24390.568481445312
9,54,0.001,5,32,0,380.2706457859574,299268.05228200066,546.0672717812781,1178.9422297536466,1915754.2335759078,1377.3010770277288,7.0,10573.674499511719
9,54,0.001,10,64,2,449.50625708530606,415444.1911388341,643.2025933475312,1131.5610941117372,1827448.2823295016,1342.5099882195614,6.25,26021.44921875
10,55,0.001,5,32,3,397.35213655131776,346650.57019307633,588.3672411445793,1068.7090615203942,1944280.1152078733,1378.7704555038395,6.0,29356.58319091797
10,55,0.0001,15,32,0,442.77985414714976,419661.2517979155,646.5642162658608,1011.0826242312012,1560672.2065941193,1248.4753897299388,7.5,20894.851806640625
11,56,0.0001,15,16,1,405.41299382445453,362315.78894859407,601.5094019036943,1189.111250902799,1963221.3860948486,1390.9325355520637,6.25,54143.21618652344
12,57,0.001,5,16,1,369.7975759698809,307220.2942817778,553.2812782326203,1196.0332215916542,1976786.6278811926,1403.6441721372948,5.25,23621.385986328125
13,59,0.0001,5,16,1,467.15307912840984,423508.5378715956,650.0893378736175,768.2974429299536,947193.1406193667,971.6381115894529,2.0,33294.2880859375
14,60,0.01,15,32,0,429.28500243112285,351876.1859985603,587.496730973365,1126.4631213518264,2066775.4359585478,1416.3770434052526,6.25,18432.382202148438
15,61,0.0001,15,16,2,439.7138952278739,421510.35868033336,649.017538418539,1212.110689050194,2074939.8455656902,1433.0286865396206,6.25,76192.01837158203
15,61,0.0001,5,16,0,478.35314518548216,429389.776679514,654.9667545955082,840.1926383226551,1109092.2929055758,1049.7488686778981,2.0,19999.031311035156
16,63,0.01,5,64,0,491.38809983573145,431506.55674822844,656.7346978733353,920.1295726829254,1336330.8172665064,1143.4268709779922,4.5,7853.707214355469
17,64,0.01,5,64,2,460.71369052907477,428951.83184676117,653.3425097045938,1110.1152685888314,2127282.63411873,1422.1074843547356,7.0,19104.169372558594
18,66,0.001,10,64,1,405.04118085635866,316234.59131672437,561.4743982730095,1229.9189706045986,2146568.7849829085,1456.4467026464986,7.25,20693.385131835938
18,66,0.0001,10,32,1,465.26363789768646,434657.4096427484,658.8838659196731,873.5641005873443,1244332.852186283,1105.9349263625004,1.75,30757.907592773438
19,67,0.001,5,64,1,479.1505049904958,436601.1896959885,658.1260595447741,913.3749812069988,1262925.5115787294,1117.3570410089887,6.0,14968.753540039062
20,68,0.01,15,64,0,443.44390433303596,401660.8652060979,629.0645484215935,1193.4050169557183,2176250.6994366264,1468.367698331212,7.25,15105.643127441406
