double_LSTM,sequence_size,epoches,batch_size,trainScoreMAE,trainScoreMSE,trainScoreRMSE,testScoreMAE,testScoreMSE,testScoreRMSE,start_time,end_time
FALSE,5,5,16,996.8596585,993729.1787,996.8596585,47.94922906,2299.128568,47.94922906,1.68E+12,1.68E+12
FALSE,5,5,16,1958.891519,3837255.982,1958.891519,75.67920953,5727.342755,75.67920953,1.68E+12,1.68E+12
FALSE,5,5,16,29.49019506,869.6716048,29.49019506,75.17186469,5650.809241,75.17186469,1.68E+12,1.68E+12
FALSE,5,5,16,114.360635,13078.35484,114.360635,180.296397,32506.79078,180.296397,1.68E+12,1.68E+12
FALSE,5,5,16,1020.362344,1041139.313,1020.362344,225.8237408,50996.3619,225.8237408,1.68E+12,1.68E+12
FALSE,5,5,32,418.8186428,175409.0556,418.8186428,153.646983,23607.39538,153.646983,1.68E+12,1.68E+12
FALSE,5,5,32,1475.019815,2175683.454,1475.019815,18.26073187,333.4543286,18.26073187,1.68E+12,1.68E+12
FALSE,5,5,32,1364.797036,1862670.951,1364.797036,90.41698187,8175.230611,90.41698187,1.68E+12,1.68E+12
FALSE,5,5,32,1207.574258,1458235.589,1207.574258,21.2138775,450.0285986,21.2138775,1.68E+12,1.68E+12
FALSE,5,5,32,1024.546914,1049696.38,1024.546914,255.3300884,65193.45406,255.3300884,1.68E+12,1.68E+12
FALSE,5,5,64,1307.174478,1708705.115,1307.174478,13.28516656,176.4956506,13.28516656,1.68E+12,1.68E+12
FALSE,5,5,64,1544.854287,2386574.769,1544.854287,44.61329156,1990.345784,44.61329156,1.68E+12,1.68E+12
FALSE,5,5,64,990.2910549,980676.3735,990.2910549,98.64159125,9730.163524,98.64159125,1.68E+12,1.68E+12
FALSE,5,5,64,1081.138711,1168860.913,1081.138711,127.3632916,16221.40804,127.3632916,1.68E+12,1.68E+12
FALSE,5,5,64,997.56376,995133.4553,997.56376,94.16993219,8867.976128,94.16993219,1.68E+12,1.68E+12
FALSE,5,6,16,710.8816311,505352.6934,710.8816311,48.2451275,2327.592327,48.2451275,1.68E+12,1.68E+12
FALSE,5,6,16,24.09786108,580.7069085,24.09786108,61.58350641,3792.528261,61.58350641,1.68E+12,1.68E+12
FALSE,5,6,16,1441.417642,2077684.818,1441.417642,125.437022,15734.4465,125.437022,1.68E+12,1.68E+12
FALSE,5,6,16,298.0120022,88811.15346,298.0120022,48.57471734,2359.503165,48.57471734,1.68E+12,1.68E+12
FALSE,5,6,16,1441.447183,2077769.981,1441.447183,212.5996197,45198.59829,212.5996197,1.68E+12,1.68E+12
FALSE,5,6,32,578.864053,335083.5918,578.864053,213.6909283,45663.81283,213.6909283,1.68E+12,1.68E+12
FALSE,5,6,32,522.1682522,272659.6836,522.1682522,22.01417047,484.6237014,22.01417047,1.68E+12,1.68E+12
FALSE,5,6,32,1032.164834,1065364.245,1032.164834,39.52686578,1562.373118,39.52686578,1.68E+12,1.68E+12
FALSE,5,6,32,1537.645181,2364352.702,1537.645181,216.5742291,46904.39669,216.5742291,1.68E+12,1.68E+12
FALSE,5,6,32,1426.313882,2034371.29,1426.313882,37.93165094,1438.810143,37.93165094,1.68E+12,1.68E+12
FALSE,5,6,64,1433.099771,2053774.953,1433.099771,268.7358502,72218.95716,268.7358502,1.68E+12,1.68E+12
FALSE,5,6,64,179.108926,32080.00738,179.108926,65.93555719,4347.497702,65.93555719,1.68E+12,1.68E+12
FALSE,5,6,64,1020.207315,1040822.965,1020.207315,70.23292047,4932.663118,70.23292047,1.68E+12,1.68E+12
FALSE,5,6,64,1244.701577,1549282.017,1244.701577,102.3754986,10480.74271,102.3754986,1.68E+12,1.68E+12
FALSE,5,6,64,1590.223062,2528809.386,1590.223062,43.43797797,1886.85793,43.43797797,1.68E+12,1.68E+12
FALSE,5,7,16,1177.361123,1386179.215,1177.361123,2.749013125,7.557073161,2.749013125,1.68E+12,1.68E+12
FALSE,5,7,16,690.2148831,476396.5848,690.2148831,98.82422906,9766.22825,98.82422906,1.68E+12,1.68E+12
FALSE,5,7,16,1046.644326,1095464.346,1046.644326,7.424326719,55.12062723,7.424326719,1.68E+12,1.68E+12
FALSE,5,7,16,1510.058389,2280276.338,1510.058389,40.01512641,1601.210341,40.01512641,1.68E+12,1.68E+12
FALSE,5,7,16,1533.089639,2350363.841,1533.089639,108.0195209,11668.2169,108.0195209,1.68E+12,1.68E+12
FALSE,5,7,32,0.224814203,0.050541426,0.224814203,63.19581109,3993.71054,63.19581109,1.68E+12,1.68E+12
FALSE,5,7,32,615.1150295,378366.4996,615.1150295,32.86717719,1080.251336,32.86717719,1.68E+12,1.68E+12
FALSE,5,7,32,785.209512,616553.9777,785.209512,167.0610455,27909.39291,167.0610455,1.68E+12,1.68E+12
FALSE,5,7,32,859.1499417,738138.6222,859.1499417,170.3662213,29024.64934,170.3662213,1.68E+12,1.68E+12
FALSE,5,7,32,1007.559854,1015176.859,1007.559854,107.9672955,11656.93689,107.9672955,1.68E+12,1.68E+12
FALSE,5,7,64,1537.386636,2363557.669,1537.386636,128.6049908,16539.24365,128.6049908,1.68E+12,1.68E+12
FALSE,5,7,64,1018.343057,1037022.582,1018.343057,198.8232319,39530.67753,198.8232319,1.68E+12,1.68E+12
FALSE,5,7,64,1692.530557,2864659.686,1692.530557,20.20946234,408.4223682,20.20946234,1.68E+12,1.68E+12
FALSE,5,7,64,29.09590795,846.5718596,29.09590795,205.2666119,42134.38195,205.2666119,1.68E+12,1.68E+12
FALSE,5,7,64,1246.980752,1554960.996,1246.980752,26.09227484,680.8068065,26.09227484,1.68E+12,1.68E+12
FALSE,5,8,16,1214.495157,1474998.485,1214.495157,101.6499127,10332.70474,101.6499127,1.68E+12,1.68E+12
FALSE,5,8,16,69.90352514,4886.502827,69.90352514,79.80516547,6368.864435,79.80516547,1.68E+12,1.68E+12
FALSE,5,8,16,120.0260837,14406.26078,120.0260837,22.37010687,500.4216816,22.37010687,1.68E+12,1.68E+12
FALSE,5,8,16,1193.248086,1423840.995,1193.248086,61.45848578,3777.145475,61.45848578,1.68E+12,1.68E+12
FALSE,5,8,16,590.5754788,348779.3961,590.5754788,47.46141547,2252.585958,47.46141547,1.68E+12,1.68E+12
FALSE,5,8,32,382.8928616,146606.9434,382.8928616,32.60743219,1063.244634,32.60743219,1.68E+12,1.68E+12
FALSE,5,8,32,762.7934963,581853.9181,762.7934963,52.49756891,2755.994741,52.49756891,1.68E+12,1.68E+12
FALSE,5,8,32,22.23880884,494.5646188,22.23880884,41.87647516,1753.639172,41.87647516,1.68E+12,1.68E+12
FALSE,5,8,32,1227.401651,1506514.812,1227.401651,61.66307562,3802.334896,61.66307562,1.68E+12,1.68E+12
FALSE,5,8,32,1559.598672,2432348.018,1559.598672,69.23973578,4794.141011,69.23973578,1.68E+12,1.68E+12
